83089,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222
0,889,42,86,390,86,235,1205,1120,107,242,489,184,612,876,909,154,403,431,328,497,804,696,258,303,412,248,537,678,585,197,262,358,312,441,574,410,125,169,315,231,328,386,295,87,186,259,191,205,221,183,100,112,179,115,167,131,122,78,106,113,77,76,85,61,46,52,78,44,55,42,26,25,37,22,30,24,41,31,20,16,23,22,20,10,9,6,8,7,11,11,4,6,6,3,4,9,8,5,7,8,9,6,5,7,3,4,3,5,4,1,4,,1,1,1,1,,2,1,2,2,1,,2,2,1,,2,3,1,2,,,,1,,4,,,,2,,1,,1,,1,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,2,9,3,4,3,3,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,3,18,7,3,49,50,2,14,11,7,19,25,28,5,9,11,7,15,24,18,4,6,7,13,13,16,11,3,5,4,3,13,8,6,2,3,3,4,3,11,2,1,1,4,3,6,4,,1,1,1,3,4,3,1,2,,,,,1,1,1,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,56,1,13,125,194,3,52,109,8,33,116,120,18,45,118,18,47,105,108,16,65,149,11,47,111,87,20,50,98,15,29,89,77,17,43,77,9,21,69,50,10,26,53,8,16,44,41,7,17,45,4,10,25,34,7,8,20,3,3,15,9,3,2,11,,2,5,5,2,2,4,,,1,5,,,2,,,,,1,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,7,8,46,3,10,2,24,5,22,1,11,5,11,2,16,2,13,2,17,6,10,1,7,1,4,3,2,1,7,2,7,3,3,,4,1,,2,2,,3,2,2,,,,,,,,1,,,,1,,,,1,,1,,,,1,,2,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,28,96,9,10,12,29,48,43,7,12,5,28,39,22,1,5,7,18,20,14,2,5,15,13,19,7,3,2,4,8,8,5,4,4,4,4,7,3,2,2,4,5,1,2,,2,,1,1,,,1,,,,1,1,1,2,1,1,,,2,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,316,643,45,132,195,54,226,447,417,65,159,147,115,217,367,302,71,107,169,88,169,237,197,55,80,128,96,108,173,115,35,64,98,52,98,103,83,12,48,60,42,53,67,25,13,34,47,20,32,25,32,8,14,23,14,13,4,10,8,8,9,4,5,4,6,3,3,1,4,1,2,6,2,1,,,2,,1,1,1,1,,2,,,1,,,,3,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,401,42,190,351,12,254,652,734,72,169,296,101,264,473,478,77,129,294,87,228,376,368,71,144,280,96,217,314,247,46,99,221,67,130,209,178,41,69,141,47,81,115,127,34,43,85,20,40,72,62,14,23,37,16,20,26,36,4,10,17,7,7,15,20,4,3,11,2,4,1,5,1,3,2,1,,1,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,4,14,36,10,22,23,45,12,21,31,8,24,19,23,10,13,32,8,19,19,29,11,13,21,9,15,23,14,7,10,13,3,13,9,9,5,9,8,3,6,7,5,2,2,1,,2,2,2,2,2,1,1,1,2,3,1,1,1,1,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
